item;target;kontext;frage;A1;A2;A3;A4;A5;A6;comments
6;Eine Krähe hackt der anderen kein Auge aus.;Auf der Arbeit im Pausenraum ist die neue Kaffeemaschine kaputt gegangen. Die Chefin verspricht eine große Belohnung für die Person, die ihr erzählt wem die Kaffeemaschine kaputt gegangen ist. Sabine: “Glaubst du jemand wird zur Chefin gehen und sagen wer es war?” Paula: “Auf keinen Fall. Eine Krähe hackt der anderen doch kein Auge aus.” Sabine: “Hm, da bin ich mir nicht so sicher.”;Warum sagt Paula, Eine Krähe hackt der anderen doch kein Auge aus?;Weil Paula glaubt, dass die Kolleginnen  zusammenhalten und sich nicht gegenseitig bei ihrer Vorgesetzten verraten.;Weil Paula denkt, dass die Kolleginnen nicht zusammenhalten und sich gegenseitig verraten würden.;Weil Paula weiß, dass Vögel friedlich miteinander umgehen.;Weil Paula beobachtet hat, dass Tiere der selben Art versuchen sich beim Kampf nicht ernsthaft zu verletzen.;Weil Paula weiß, dass Sabine heute Spätschicht hat und noch lange in der Firma sein wird.;Weil Paula weiß, dass Sabine morgen Geburtstag hat.;
6;Eine Krähe hackt der anderen kein Auge aus.;Auf der Arbeit im Pausenraum ist die neue Kaffeemaschine kaputt gegangen. Die Chefin verspricht eine große Belohnung für die Person, die ihr erzählt wem die Kaffeemaschine kaputt gegangen ist. Sabine: “Glaubst du jemand wird zur Chefin gehen und sagen wer es war?” Paula: “Auf keinen Fall. Eine Krähe hackt der anderen doch kein Auge aus.” Sabine: “Hm, da bin ich mir nicht so sicher.”;Warum sagt Paula, Eine Krähe hackt der anderen doch kein Auge aus?;Weil Paula glaubt, dass die Kolleginnen  zusammenhalten und sich nicht gegenseitig bei ihrer Vorgesetzten verraten.;Weil Paula denkt, dass die Kolleginnen nicht zusammenhalten und sich gegenseitig verraten würden.;Weil Paula weiß, dass Vögel friedlich miteinander umgehen.;Weil Paula beobachtet hat, dass Tiere der selben Art versuchen sich beim Kampf nicht ernsthaft zu verletzen.;Weil Paula weiß, dass Sabine heute Spätschicht hat und noch lange in der Firma sein wird.;Weil Paula weiß, dass Sabine morgen Geburtstag hat.;
7;Wenn das Kind ertrunken ist, deckt man den Brunnen zu.;Anna und Bernd spazieren durchs Dorf und unterhalten sich. An der alten Straßenkreuzung bleiben sie stehen und schauen sich die neu gebaute Ampel an. Anna: ”Schade das die Ampel letzten Monat noch nicht da war, das hätte den Zusammenstoß der zwei Autos bestimmt verhindert.” Bernd: “Das stimmt, erst wenn das Kind ertrunken ist, deckt man den Brunnen zu.” Anna: “Ja, leider.”;Warum sagt Bernd, Erst wenn das Kind ertrunken ist, deckt man den Brunnen zu?;Weil die Straße erst sicher gemacht wurde, nachdem der Unfall passiert ist.;Weil Bernd denkt, dass der Unfall nicht verhindert werden konnte.;Weil Bernd glaubt, dass eine Wasserstelle geschlossen wird, sobald dort jemand stirbt.;Weil Bernd glaubt, dass größere Löcher im Boden gefährlich sind.;Weil Wasser aus der Erde geholt wird.;Weil Bern heute seinen Terminkalender verloren hat.;
7;Wenn das Kind ertrunken ist, deckt man den Brunnen zu.;Anna und Bernd spazieren durchs Dorf und unterhalten sich. An der alten Straßenkreuzung bleiben sie stehen und schauen sich die neu gebaute Ampel an. Anna: ”Schade das die Ampel letzten Monat noch nicht da war, das hätte den Zusammenstoß der zwei Autos bestimmt verhindert.” Bernd: “Das stimmt, erst wenn das Kind ertrunken ist, deckt man den Brunnen zu.” Anna: “Ja, leider.”;Warum sagt Bernd, Erst wenn das Kind ertrunken ist, deckt man den Brunnen zu?;Weil die Straße erst sicher gemacht wurde, nachdem der Unfall passiert ist.;Weil Bernd denkt, dass der Unfall nicht verhindert werden konnte.;Weil Bernd glaubt, dass eine Wasserstelle geschlossen wird, sobald dort jemand stirbt.;Weil Bernd glaubt, dass größere Löcher im Boden gefährlich sind.;Weil Wasser aus der Erde geholt wird.;Weil Bern heute seinen Terminkalender verloren hat.;
8;Wer anderen eine Grube gräbt, fällt selbst hinein.;Anton will seiner Schwester Lotta ein Bein stellen. Doch als er es machen will gerät er aus dem Gleichgewicht und fällt selbst auf den Boden. Anton: “Oh man, wie konnte das nur passieren. Lotta: ”Tja, wer anderen eine Grube gräbt, fällt selbst hinein.” Anton: ”Ja, aber wirklich.”;Warum sagt Lotta, wer anderen eine Grube gräbt, fällt selbst hinein?;Weil Lotta findet, dass Anton selber Schuld ist, dass er gestürzt ist.;Weil Lotta denkt, dass sie Anton zum stürzen gebracht hat.;Weil Anton in sein eigenes Loch gefallen ist.;Weil Anton in das Loch gefallen ist, das er für Lotta gebuddelt hat.;Weil Lotta möchte, dass Anton mit ihr spielt.;Weil Lotta letzte Nacht schlecht geschlafen hat.;Wenn wir clanging weiterhin so streng vermeiden wollen, müssen Proband:innen bei konkretistischen Antworten A3/A4 den Transfer von Grube (Sprichwort, Kontext) zu Loch (Antwort) schaffen. Ist es das wert?  //dyke
8;Wer anderen eine Grube gräbt, fällt selbst hinein.;Anton will seiner Schwester Lotta ein Bein stellen. Doch als er es machen will gerät er aus dem Gleichgewicht und fällt selbst auf den Boden. Anton: “Oh man, wie konnte das nur passieren. Lotta: ”Tja, wer anderen eine Grube gräbt, fällt selbst hinein.” Anton: ”Ja, aber wirklich.”;Warum sagt Lotta, wer anderen eine Grube gräbt, fällt selbst hinein?;Weil Lotta findet, dass Anton selber Schuld ist, dass er gestürzt ist.;Weil Lotta denkt, dass sie Anton zum stürzen gebracht hat.;Weil Anton in sein eigenes Loch gefallen ist.;Weil Anton in das Loch gefallen ist, das er für Lotta gebuddelt hat.;Weil Lotta möchte, dass Anton mit ihr spielt.;Weil Lotta letzte Nacht schlecht geschlafen hat.;Wenn wir clanging weiterhin so streng vermeiden wollen, müssen Proband:innen bei konkretistischen Antworten A3/A4 den Transfer von Grube (Sprichwort, Kontext) zu Loch (Antwort) schaffen. Ist es das wert?  //dyke
9;Geld regiert die Welt.;***A*** und ***B*** unterhalten sich: ***A***: Hast du das von dem reichen Bauern gehört, der angeblich unser Rathaus gekauft hat? ***B***: Nee. Aber würde mich nicht wundern. ***A***: Wieso? Denkst du, die Stadt verkauft einfach so ihren Regierungssitz? ***B***: Na Geld regiert die Welt. ***A***: Stimmt auch wieder.;Warum ist *Geld regiert die Welt* für Person ***A*** eine zufriedenstellende Antwort?;Weil auch ***A*** denkt, dass der Stadt die Millionen wichtiger sind, als unabhängig zu bleiben.;Weil ***A*** denkt, dass der Stadt ihre Unabhängigkeit wichtiger als irgendwelche Millionen ist.;Weil ***A*** der Meinung ist, dass man sich eben mit genug Mitteln durchaus ein solches Haus leisten kann.;Weil ***A*** denkt, dass ein Stadtgebäude nicht so viel kostet.;Weil ***A*** denkt, dass der Unternehmer ein Kino aus dem Gebäude machen will.;Weil sie weiß, dass die Beleuchtung erst in der Dämmerung eingeschaltet wird.;
9;Geld regiert die Welt.;***A*** und ***B*** unterhalten sich: ***A***: Hast du das von dem reichen Bauern gehört, der angeblich unser Rathaus gekauft hat? ***B***: Nee. Aber würde mich nicht wundern. ***A***: Wieso? Denkst du, die Stadt verkauft einfach so ihren Regierungssitz? ***B***: Na Geld regiert die Welt. ***A***: Stimmt auch wieder.;Warum ist *Geld regiert die Welt* für Person ***A*** eine zufriedenstellende Antwort?;Weil auch ***A*** denkt, dass der Stadt die Millionen wichtiger sind, als unabhängig zu bleiben.;Weil ***A*** denkt, dass der Stadt ihre Unabhängigkeit wichtiger als irgendwelche Millionen ist.;Weil ***A*** der Meinung ist, dass man sich eben mit genug Mitteln durchaus ein solches Haus leisten kann.;Weil ***A*** denkt, dass ein Stadtgebäude nicht so viel kostet.;Weil ***A*** denkt, dass der Unternehmer ein Kino aus dem Gebäude machen will.;Weil sie weiß, dass die Beleuchtung erst in der Dämmerung eingeschaltet wird.;
10;Unverhofft kommt oft.;Britta hat schon lange auf die Sonderauflage ihres Lieblingsbuches, Thomas Manns *Zauberberg*, gewartet. Als sie neulich zufällig an einer Buchhandlung vorbeigeht, sieht sie, wie die Verkäuferin gerade diese Sonderauflagen im Schaufenster verteilt. Ha! Unverhofft kommt oft! sagt sie zu sich selbst. Gerade hatte sie im Cafe, wo sie arbeitet, das Trinkgeld des ganzen Monats bekommen.;Warum entfährt ihr der Spruch :Unverhofft kommt oft?:;Weil sie gerade zufällig einen dicken Umschlag Scheine in der Tasche hat, als sie an dem Laden vorbeigeht?;Weil sie die ganzen Scheine für Kleinigkeiten ausgeben kann?;Weil sie in dem Laden sehr häufig zu viel ausgibt und darauf gewartet hat, dass sich das ändert?;Weil in dem Laden ständig Ratgeberliteratur verkauft wird?;Weil die Gäste im Cafe heute sehr geizig waren?;Weil auch Tunnel in anderen Gegenden gegraben werden?;
10;Unverhofft kommt oft.;Britta hat schon lange auf die Sonderauflage ihres Lieblingsbuches, Thomas Manns *Zauberberg*, gewartet. Als sie neulich zufällig an einer Buchhandlung vorbeigeht, sieht sie, wie die Verkäuferin gerade diese Sonderauflagen im Schaufenster verteilt. Ha! Unverhofft kommt oft! sagt sie zu sich selbst. Gerade hatte sie im Cafe, wo sie arbeitet, das Trinkgeld des ganzen Monats bekommen.;Warum entfährt ihr der Spruch :Unverhofft kommt oft?:;Weil sie gerade zufällig einen dicken Umschlag Scheine in der Tasche hat, als sie an dem Laden vorbeigeht?;Weil sie die ganzen Scheine für Kleinigkeiten ausgeben kann?;Weil sie in dem Laden sehr häufig zu viel ausgibt und darauf gewartet hat, dass sich das ändert?;Weil in dem Laden ständig Ratgeberliteratur verkauft wird?;Weil die Gäste im Cafe heute sehr geizig waren?;Weil auch Tunnel in anderen Gegenden gegraben werden?;
11;Je weniger man isst, desto länger ist man.;Mike ist ein leidenschaftlicher Koch in einem Restaurant. Trotzdem will er von den Speisen, die er zubereitet, nur wenig selbst essen. Als Suse ihn fragt, warum das so ist, antwortet er: Na du weiszt, je weniger man isst, desto länger ist man. Suse sagt: Okay, das verstehe ich. Ich dachte schon, dir schmecken deine Gerichte nicht.;Warum weiß Suse jetzt, dass Mike aus gesundheitlichen Gründen weniger essen möchte?;Weil Mike mit seiner Aussage zu verstehen gibt, älter werden zu wollen.;Weil Mike seine Gerichte zu gefährlich sind?;Weil Mike damit zugibt, Angst zu haben, durch zu viel Nahrung zu groß zu werden, um weiter in der engen Küche arbeiten zu können?;Weil Mike einmal gesagt hat, dass er weniger zu sich nehmen möchte und das schon eine Weile her ist.;Weil den Gästen die Eingangstür zum Restaurant zu klein ist.;Weil er mit der S-Bahn direkt bis zum See fahren kann.;
11;Je weniger man isst, desto länger ist man.;Mike ist ein leidenschaftlicher Koch in einem Restaurant. Trotzdem will er von den Speisen, die er zubereitet, nur wenig selbst essen. Als Suse ihn fragt, warum das so ist, antwortet er: Na du weiszt, je weniger man isst, desto länger ist man. Suse sagt: Okay, das verstehe ich. Ich dachte schon, dir schmecken deine Gerichte nicht.;Warum weiß Suse jetzt, dass Mike aus gesundheitlichen Gründen weniger essen möchte?;Weil Mike mit seiner Aussage zu verstehen gibt, älter werden zu wollen.;Weil Mike seine Gerichte zu gefährlich sind?;Weil Mike damit zugibt, Angst zu haben, durch zu viel Nahrung zu groß zu werden, um weiter in der engen Küche arbeiten zu können?;Weil Mike einmal gesagt hat, dass er weniger zu sich nehmen möchte und das schon eine Weile her ist.;Weil den Gästen die Eingangstür zum Restaurant zu klein ist.;Weil er mit der S-Bahn direkt bis zum See fahren kann.;
11;Eine Schwalbe macht noch keinen Sommer.;Birgit und Karl sitzen in ihrer Laube. Sie haben gerade den Salat im Beet ausgepflanzt. Karl meint: Und…, wie findest du's? Können wir bald ernten, oder? Birgit überlegt kurz und sagt: Na…, eine Schwalbe macht noch keinen Sommer. Karl antwortet: Naja immerhin…, der Anfang ist gemacht.;Warum sagt Birgit das mit der Schwalbe und dem Sommer?;Weil sie denkt, dass bis man ernten kann, noch eine Menge zu tun sein wird.;Weil sie denkt, dass sie sich jetzt ausruhen können.;Weil sie denkt, dass die Vögel in dieser Jahreszeit alles wegfressen werden.;Weil sie denkt, dass sie Vögel im letzten Winter kaum etwas zu fressen hatten.;Weil sie denkt, der Nachbar hat immer die grüneren Tomaten.;Weil sie denkt, dass der Badesee mitten im Wald liegt.;
11;Eine Schwalbe macht noch keinen Sommer.;Birgit und Karl sitzen in ihrer Laube. Sie haben gerade den Salat im Beet ausgepflanzt. Karl meint: Und…, wie findest du's? Können wir bald ernten, oder? Birgit überlegt kurz und sagt: Na…, eine Schwalbe macht noch keinen Sommer. Karl antwortet: Naja immerhin…, der Anfang ist gemacht.;Warum sagt Birgit das mit der Schwalbe und dem Sommer?;Weil sie denkt, dass bis man ernten kann, noch eine Menge zu tun sein wird.;Weil sie denkt, dass sie sich jetzt ausruhen können.;Weil sie denkt, dass die Vögel in dieser Jahreszeit alles wegfressen werden.;Weil sie denkt, dass sie Vögel im letzten Winter kaum etwas zu fressen hatten.;Weil sie denkt, der Nachbar hat immer die grüneren Tomaten.;Weil sie denkt, dass der Badesee mitten im Wald liegt.;
12;Wie gewonnen, so zerronnen.;***A*** ist Schauspielerin und dreht gerade einen neuen Kinofilm. Sie erfährt, dass sie morgen nicht am Set gebraucht wird und einen freien Tag hat. ***A*** erhält am Abend einen Anruf von ***B***: Es gab Änderungen in der Tagesdisposition, sodass wir deine Szene vorziehen. Deine Calltime für morgen ist 06:30 Uhr. ***A*** antwortet: Wie gewonnen so zerronnen. ***B*** entgegnet ihr: Da hast du dich wohl zu früh gefreut. Du weißt doch, wie es in diesem Business läuft.;Warum sagt ***A*** Wie gewonnen so zerronnen?;Weil ***A*** glaubte frei zu haben und nun doch arbeiten gehen muss.;Weil ***A*** frei hat und nicht arbeiten gehen muss.;Weil ***A***´s Sieg dahinschmilzt.;Weil ***A*** ihren Lottoschein in der Waschmaschine gewaschen hat.;Weil ***A*** Eis essen gehen möchte.;Weil ***A*** lieber Drachen fliegen lassen möchte.;stephan
12;Wie gewonnen, so zerronnen.;***A*** ist Schauspielerin und dreht gerade einen neuen Kinofilm. Sie erfährt, dass sie morgen nicht am Set gebraucht wird und einen freien Tag hat. ***A*** erhält am Abend einen Anruf von ***B***: Es gab Änderungen in der Tagesdisposition, sodass wir deine Szene vorziehen. Deine Calltime für morgen ist 06:30 Uhr. ***A*** antwortet: Wie gewonnen so zerronnen. ***B*** entgegnet ihr: Da hast du dich wohl zu früh gefreut. Du weißt doch, wie es in diesem Business läuft.;Warum sagt ***A*** Wie gewonnen so zerronnen?;Weil ***A*** glaubte frei zu haben und nun doch arbeiten gehen muss.;Weil ***A*** frei hat und nicht arbeiten gehen muss.;Weil ***A***´s Sieg dahinschmilzt.;Weil ***A*** ihren Lottoschein in der Waschmaschine gewaschen hat.;Weil ***A*** Eis essen gehen möchte.;Weil ***A*** lieber Drachen fliegen lassen möchte.;stephan
14;Es ist nicht alles Gold, was glänzt;***A*** berichtet ***B*** von seinem erfolglosen Date (Verabredung) gestern Abend. Er hatte gehofft endlich seine Traumfrau gefunden zu haben. ***A*** sagt zu ***B***: Wie kann man nur so wahnsinnig gut aussehen und doch so langweilig sein?! ***B*** antwortet ***A*** darauf: Es ist eben nicht alles Gold, was glänzt. ***A*** meint daraufhin: So könnte man es auch sagen.;Warum sagt ***B***, es ist eben nicht alles Gold, was glänzt?;Weil ***B*** meint, dass Attraktivität oft blenden (täuschen) kann.;Weil ***B*** findet, dass das äußere Erscheinungsbild den wahren Wert zeigt..;Weil das Bilnken (Schimmern) allein kein Charakteristkum (Alleinstellungsmerkmal) des Edelmetalls ist.;Weil B beobachtet hat, dass es Sachen gibt, die wie wertvolle Metalle aussehen, aber überhaupt nicht wertvoll sind.;Weil A schon länger glücklich verheiratet ist.;Weil ***B*** Lust auf ein Bad hat.;Dyke
14;Es ist nicht alles Gold, was glänzt;***A*** berichtet ***B*** von seinem erfolglosen Date (Verabredung) gestern Abend. Er hatte gehofft endlich seine Traumfrau gefunden zu haben. ***A*** sagt zu ***B***: Wie kann man nur so wahnsinnig gut aussehen und doch so langweilig sein?! ***B*** antwortet ***A*** darauf: Es ist eben nicht alles Gold, was glänzt. ***A*** meint daraufhin: So könnte man es auch sagen.;Warum sagt ***B***, es ist eben nicht alles Gold, was glänzt?;Weil ***B*** meint, dass Attraktivität oft blenden (täuschen) kann.;Weil ***B*** findet, dass das äußere Erscheinungsbild den wahren Wert zeigt..;Weil das Bilnken (Schimmern) allein kein Charakteristkum (Alleinstellungsmerkmal) des Edelmetalls ist.;Weil B beobachtet hat, dass es Sachen gibt, die wie wertvolle Metalle aussehen, aber überhaupt nicht wertvoll sind.;Weil A schon länger glücklich verheiratet ist.;Weil ***B*** Lust auf ein Bad hat.;Dyke
